Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering,hour,weekday,is_weekend,log_amount_paid,log_amount_received,amount_diff,same_currency,same_bank,from_account_id,to_account_id,sender_out_degree,sender_unique_receivers,sender_total_sent,sender_mean_sent,receiver_in_degree,receiver_unique_senders,receiver_total_received,receiver_mean_received,sent_received_ratio,sender_pagerank,receiver_pagerank,sample_sender_out_degree,sample_receiver_in_degree,tsne_1,tsne_2
2022-09-04 00:11:00,17491,806F32860,16792,806BE2DF0,13639.63,Ruble,13639.63,Ruble,Credit Card,0,0,6,1,9.52080811801412,9.52080811801412,0.0,1,0,17491_806F32860,16792_806BE2DF0,1,1,13639.63,13639.63,3,2,19427.33,6475.776666666668,0.7020846405192023,0.0,1.395402598499172e-05,0.0,1.0,30.214712,-39.873463
2022-09-01 14:59:00,251123,812A8F8B0,251123,812A8F8B0,95834.65,Saudi Riyal,95834.65,Saudi Riyal,Reinvestment,0,14,3,0,11.470390024172291,11.470390024172291,0.0,1,1,251123_812A8F8B0,251123_812A8F8B0,1,1,95834.65,95834.65,1,1,95834.65,95834.65,0.9999999999895655,2.6249109327348023e-05,2.6249109327348023e-05,1.0,1.0,-49.516987,-7.740907
2022-09-07 01:10:00,12004,801AEB6C0,6030,8042DBB70,901.17,Euro,901.17,Euro,Credit Card,0,1,2,0,6.804802972370891,6.804802972370891,0.0,1,0,12004_801AEB6C0,6030_8042DBB70,1,1,901.17,901.17,1,1,901.17,901.17,0.9999999988903314,1.0600878039905228e-05,0.0,0.0,0.0,-27.531996,-14.895401
2022-09-07 08:19:00,32564,80C50EE70,33727,80C615F90,31971.26,Mexican Peso,31971.26,Mexican Peso,ACH,0,8,2,0,10.372623930828444,10.372623930828444,0.0,1,0,32564_80C50EE70,33727_80C615F90,3,2,83397.39,27799.13,3,2,98156.73999999999,32718.91333333333,0.8496348798783494,1.6372048508319074e-05,2.251959017949722e-05,1.0,1.0,17.380705,-6.4170322
2022-09-06 10:11:00,110,80D5DA010,35520,80D5DA420,23577.05,Brazil Real,23577.05,Brazil Real,ACH,0,10,1,0,10.068071473470741,10.068071473470741,0.0,1,0,110_80D5DA010,35520_80D5DA420,2,2,25779.5,12889.75,1,1,23577.05,23577.05,1.0934149946200473,7.247730094818736e-06,0.0,1.0,0.0,27.18686,-4.813615
2022-09-05 23:44:00,5464,8027E9410,27103,802C08900,0.22,Euro,0.22,Euro,Wire,0,23,0,0,0.1988508587451652,0.1988508587451652,0.0,1,0,5464_8027E9410,27103_802C08900,2,2,1022.85,511.425,2,2,6642.56,3321.28,0.15398430723185272,7.247730094818736e-06,1.395402598499172e-05,1.0,1.0,-16.55926,-15.831185
2022-09-04 00:10:00,19,80A1E8B70,30075,80B00A450,2799.78,Australian Dollar,2799.78,Australian Dollar,Cheque,0,0,6,1,7.937653228798051,7.937653228798051,0.0,1,0,19_80A1E8B70,30075_80B00A450,3,2,6276.18,2092.06,2,1,5599.56,2799.78,1.1208344939386603,7.247730094818736e-06,1.0600878039905228e-05,2.0,1.0,29.911877,-47.749527
2022-09-05 20:28:00,10,8005BCCE0,2991,80A3637D0,14753.97,US Dollar,14753.97,US Dollar,ACH,0,20,0,0,9.599335254165892,9.599335254165892,0.0,1,0,10_8005BCCE0,2991_80A3637D0,5,3,32300.21,6460.0419999999995,2,1,29507.94,14753.97,1.0946277510021158,9.48316205820973e-06,1.1406885547681012e-05,2.0,1.0,-27.381857,15.696889
2022-09-08 05:51:00,70,100428660,40187,81115FDA0,1609.72,US Dollar,1609.72,US Dollar,Cheque,1,5,3,0,7.384436562981113,7.384436562981113,0.0,1,0,70_100428660,40187_81115FDA0,5600,4322,1416091132.26,252873.416475,2,1,3219.44,1609.72,439856.3513592872,7.431068899654856e-05,0.0,1867.0,0.0,28.645285,55.437195
2022-09-09 08:40:00,116904,806AF5E40,16649,806AF6160,366112.23,Ruble,366112.23,Ruble,ACH,1,8,4,0,12.810697936122681,12.810697936122681,0.0,1,0,116904_806AF5E40,16649_806AF6160,1,1,366112.23,366112.23,1,1,366112.23,366112.23,0.9999999999972686,7.247730094818736e-06,1.395402598499172e-05,1.0,1.0,10.438504,-3.3990798
